2dccbd1	0.286	0.062390	{"k_bind": 0.20000000000000004, "k_des": 0.29999999999999993, "k_trans": 5.000000000000002, "k_rel": 0.5530190312515, "k_gain": 0.049999999999999996, "k_fb": 0.20847327922017833, "k_h_on": 0.011215794474822911, "k_h_off": 0.24098014217638974, "k_h_inh": 4.187071870469013, "b0": 69.77932036967657, "k_b_dec": 0.16645977724035704, "T_end": 20.19621027569308}
c5adddf	0.571	0.056043	{"k_bind": 0.29999999999999993, "k_des": 0.01071570533311968, "k_adapt": 1.1523539078710254, "k_trans": 11.945687166590893, "k_rel": 1.1381832300421486, "k_gain": 2.17182956695847, "k_fb": 1.2396751095826775, "k_h_on": 0.0394486438827414, "k_h_off": 0.04251150467337372, "k_h_inh": 3.059081508540754, "b0": 2.0, "k_b_dec": 3.6891599740625507, "T_end": 18.0}
28836fe	0.286	0.052525	{"k_bind": 0.15, "k_des": 0.1675965182712087, "k_adapt": 0.14630602060007478, "k_trans": 30.995501028322916, "k_rel": 0.9614563865543823, "k_gain": 0.1, "k_fb": 0.9519508078680283, "k_h_on": 0.3530654975992577, "k_h_off": 0.15898165844740028, "k_h_inh": 0.3571767606031271, "b0": 13.456795127549691, "k_b_dec": 0.1, "T_end": 19.554717794057954}
c413ab6	0.429	0.110432	{"k_bind": 0.5, "k_des": 0.033609390684166095, "k_inh": 0.011097305386218859, "k_adapt": 5.0199500213927575, "k_trans": 65.32748690630392, "k_rel": 0.7444288597588545, "k_gain": 0.18681663887963598, "k_fb": 0.9662219317059135, "k_h_on": 0.014203896528160948, "k_h_off": 0.02617748272990271, "k_h_inh": 3.8184496150548433, "T_end": 20.0}
d54dc33	0.714	0.051870	{"k_bind": 0.3655012129842647, "k_des": 0.030112635845127547, "k_inh": 3.8914842043044144, "k_adapt": 10.0, "k_trans": 13.149030444857173, "k_rel": 0.15300830500558282, "k_gain": 3.119118776968602, "k_fb": 0.3986013460255794, "k_h_on": 1.0707231454003134, "k_h_off": 0.004211167652468252, "k_h_inh": 0.0013525860092984422, "T_end": 21.883133564564762}
3c76d55	0.429	0.074434	{"k_bind": 2.9999999999999996, "k_des": 0.20000000000000004, "k_inh": 1.0, "k_adapt": 0.328861047440833, "k_trans": 6.780960044951566, "k_rel": 0.8124584159884088, "k_gain": 0.6789166017723998, "k_fb": 0.1057887311170603, "k_h_on": 0.021473592778946546, "k_h_off": 0.007777558732747853, "k_h_inh": 0.8885847793320464, "T_end": 18.7417365748286}
fe18c53	0.286	0.101066	{"k_bind": 0.20000000000000004, "k_des": 0.15000000000000005, "k_inh": 1.0, "k_adapt": 0.3412955167528435, "k_trans": 37.762582338090716, "k_rel": 0.3581054996247126, "k_gain": 0.49226004975964305, "k_fb": 0.20000000000000004, "k_h_on": 0.013153688551874597, "k_h_off": 0.004999999999999999, "k_h_inh": 1.9706000774870505, "T_end": 18.016256244210563}
9c8ab61	0.143	0.188149	{"k_bind": 1.9025562913741285, "k_des": 0.034, "k_inh": 4.84, "k_adapt": 1.95, "k_trans": 10.63820537051079, "k_rel": 0.162, "k_gain": 0.578164919617632, "k_fb": 0.20400174554176803, "k_h_on": 0.011603711255273298, "k_h_off": 0.003000000000000001, "k_h_inh": 2.9999999999999996, "T_end": 18.528870075689962}
8ecf24f	0.714	0.046184	{"k_adapt": 3.263199162497355, "k_ho": 3.213545599549474, "k_hd": 0.002683086737685483, "k_trans": 40.500147686931335, "k_rel": 0.16010600886070026, "k_gain": 0.8835019145338835, "k_fb": 0.39379138256228746, "k_gi": 0.01, "k_go": 0.13304951698562914, "k_gd": 0.46796671277579605, "T_end": 21.523259314037684}
b51e212	0.714	0.047354	{"k_adapt": 1.9636056649803848, "k_trans": 31.067310613318416, "k_rel": 0.16101887850832022, "k_gain": 1.1578518477658413, "k_fb": 0.3985236604807339, "k_ho": 4.9075584275398905, "k_hd": 0.005490211200337935, "k_gi": 0.022308702866839756, "k_go": 0.12844059511562336, "k_gd": 2.0000000000000004, "y_ref": 2.30695128238134, "T_end": 22.844211778521416}
